id,lekwungen_word
311,čiʔetxʷ ʔax̣ʷ ʔə səw̓niɬ
312,čiʔetəɬ
313,čiʔéqn
314,čilq̓áʔwəč
315,čisélqəŋ
316,čiséləqəŋ
317,čiyénəxʷ
318,čiyə́wən
319,čkʷeʔ
320,čɬʔəsə
321,čɬniɬ
322,čɬníŋəɬ
323,čɬnəkʷíʔliyeʔ
324,čɬnə́kʷə
325,čɬqən ̓xʷ
326,čɬ- or -č-
327,čɬət
328,čƛ̓iʔ
329,čƛ̓iʔ
330,čneʔ
331,čqʷət
332,čséʔlətxʷ
333,čséləqəŋ
334,čsəléʔə
335,čteʔt
336,čteŋ
337,čtet
338,čtésə
339,čtétəŋ
340,čtəʔ
341,čtə́ŋ̓əxʷ
342,čx̣étsə
343,čx̣əʔlə́w̓sə
344,čx̣ət
345,čx̣əts kʷə
346,čx̣ʷéɬs
347,čyəwən
348,č-
349,čáʔləqʷ
350,čákʷəs
351,čáqʷəɬ
352,čáqʷəɬ cə šíʔšəč̓
353,čáq̓ʷəŋ
354,čéʔčət
355,čéʔet
356,čéʔi sn̓
357,čéʔlə
358,čéc̓ət
359,čéčəw̓txʷ
360,čéčəs
361,čéčət
362,čéčət tə snə́xʷəɬ
363,čéeʔə
364,čéləwt
365,čéx̣ʷəŋ
366,čéx̣ʷət
367,čéyʔəs
368,čéyči
369,číʔčiʔq̓nʔ
370,číʔčés
371,číʔiqʷən
372,číʔyəq
373,číyəwʔín
374,číkmən
375,čə ʔéʔləŋ
376,čə səléʔeƛ̓
377,čə or č-
378,čəʔayʔɬ
379,čəʔáwəs
380,čəʔáyʔɬ
381,čəčtənəxʷən
382,čəčtə́nəxʷ
383,čəčínəs
384,čəčítqəs
385,čəheləʔ
386,čəlčə́qʷ
387,čəlew̓
388,čələw̓
389,čəlénəŋ
390,čəléŋən
391,čəl̓éqəɬ
392,čəl̓ə́w̓təs
393,čəɬ
394,čəɬat
395,čənʔc̓ɬáŋəsət
396,čənʔc̓áʔɬəŋ
397,čənʔtéŋ
398,čənʔ-
399,čənʔáyiʔ
400,čənčéenəxʷ
401,čənéen̓xʷ
402,čənén̓əxʷ
403,čənəs
404,čənəsə
405,čən̓c̓áʔɬəŋ
406,čən̓k̓ʷéʔləs
407,čən̓íŋəɬ
408,čəŋéɬč
409,čəŋənə
410,čəq
411,čəq ʔéʔləŋ tə́ŋəxʷ
412,čəq skʷéčəl
413,čəq swáy̓qeʔ
414,čəq tə st̓éčəŋ
415,čəqsát
416,čəqʷ
417,čəqʷ sən
418,čəqʷnəxʷ
419,čəqʷə́w̓sə
420,čəsčéʔsə
421,čəsčəstxʷ
422,čəsɬéni
423,čəswáy̓qeʔ
424,čətqásəŋ
425,čəx̣ʷə́ʔlətən
426,čə-
427,čə́kʷən
428,čə́məx̣
429,čə́məx̣
430,čə́nʔət
431,čə́nəs
432,čə́nətəŋ
433,čə́sə
434,čə́šə; čsaʔ
435,č̓č̓eʔwiʔ
436,č̓č̓əléʔwiʔ
437,č̓ec̓íŋəɬ
438,č̓eŋ̓
439,č̓eŋ̓s
440,č̓eŋ̓təŋ
441,č̓kʷəx̣t
